ranks,PAPI_BR_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_TOT_INS,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,FP_ARITH:SCALAR_SINGLE,FP_ARITH:SCALAR_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,PAPI_MEM_WCY,rp,emb1_1,emb1_2,emb1_3,emb1_4,emb1_5,emb1_6,emb1_7,emb1_8,emb1_9,emb1_10,emb2_1,emb2_2,emb2_3,emb2_4,emb2_5,ranks,PAPI_BR_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_TOT_INS,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,FP_ARITH:SCALAR_SINGLE,FP_ARITH:SCALAR_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,PAPI_MEM_WCY,rp
1,435555555.6,1235527778.0,192194444.4,2783416667.0,42416666.67,6916666.667,11527777.78,2027777.778,2.958333333,138755578.6,38105685.5,550.1388889,30160.16667,250500000.0,38.21488595,-0.042855933,-0.123209015,0.19162068,0.20076326,0.15673009,-0.104574986,-0.19409782,0.04167688,0.37662756,0.2122229,-0.050562713,0.23909518,-0.13076146,-0.029731303,0.10400787,0.0,-0.4827743379980261,-0.4821500482023381,-0.4880970772724871,-0.4833231889450797,-0.46542548212625556,-0.5076498013315309,-0.43959604077831144,-0.46283160664554485,-0.3250862007224157,-0.49459947847543506,-0.4605566809558951,-0.3918946298981731,-0.32497048746828283,-0.44684018070838244,0.03364616603137925
1,568111111.1,1896916667.0,311472222.2,4213527778.0,82638888.89,16750000.0,17138888.89,4027777.778,3.972222222,236867340.9,67471186.18,548.4166667,30160.22222,451000000.0,55.0,-0.042855933,-0.123209015,0.19162068,0.20076326,0.15673009,-0.104574986,-0.19409782,0.04167688,0.37662756,0.2122229,-0.050562713,0.23909518,-0.13076146,-0.029731303,0.10400787,0.0,-0.48175128396701966,-0.4803884762606193,-0.48594068316638567,-0.48157951455851356,-0.46391648528317536,-0.5050074377250362,-0.4392139061786399,-0.4614017083254081,-0.3232425830374272,-0.49030128524493166,-0.4593424992231644,-0.39242532303255107,-0.32492754147256103,-0.44615202393754944,0.28575911824278155
1,443194444.4,1263472222.0,202277777.8,2859166667.0,44000000.0,7027777.778,12194444.44,2027777.778,0.638888889,183353260.3,80617505.57,551.8333333,30161.30556,268861111.1,47.166,-0.042855933,-0.123209015,0.19162068,0.20076326,0.15673009,-0.104574986,-0.19409782,0.04167688,0.37662756,0.2122229,-0.050562713,0.23909518,-0.13076146,-0.029731303,0.10400787,0.0,-0.48271538161592825,-0.48207561975442187,-0.48791478312587694,-0.4832308301529786,-0.4653660810075544,-0.5076199441156671,-0.43955063864810245,-0.46283160664554485,-0.32930379186351627,-0.49264569180312,-0.4587989355008931,-0.39137249633743676,-0.32409000564889817,-0.4467771616414324,0.16809218659484754
1,492194444.4,1073388889.0,151277777.8,2471888889.0,45805555.56,6111111.111,12277777.78,2027777.778,2.472222222,85518248.64,90554484.71,551.8611111,30161.30556,360138888.9,56.02160864,-0.042855933,-0.123209015,0.19162068,0.20076326,0.15673009,-0.104574986,-0.19409782,0.04167688,0.37662756,0.2122229,-0.050562713,0.23909518,-0.13076146,-0.029731303,0.10400787,0.0,-0.4823372032187255,-0.4825818959734062,-0.48883679979519795,-0.4837030216748755,-0.465298342889428,-0.507866266146879,-0.43954496338131555,-0.46283160664554485,-0.32597012700944,-0.49693176082242285,-0.45838806906678087,-0.3913639367637951,-0.32409000564889817,-0.44646387774707,0.3011037128322401
1,46195611111.0,102000000000.0,13663111111.0,231000000000.0,4973333333.0,758944444.4,2230472222.0,272361111.1,2.902777778,3921400493.0,4651602624.0,575.9722222,30158.45833,56353027778.0,1.184210526,-0.042855933,-0.123209015,0.19162068,0.20076326,0.15673009,-0.104574986,-0.19409782,0.04167688,0.37662756,0.2122229,-0.050562713,0.23909518,-0.13076146,-0.029731303,0.10400787,0.0,-0.1296015937969607,-0.2137695689705829,-0.2445596318285621,-0.2050682981980684,-0.2804347662407525,-0.3055686998716462,-0.28847883239260064,-0.2695570170484982,-0.3251872208685171,-0.3288850077195444,-0.2698014213137309,-0.3839342327900603,-0.32629121406288164,-0.25428489716086766,-0.5225557683562434
1,392000000000.0,1140000000000.0,167000000000.0,2480000000000.0,80134472222.0,11311750000.0,43777694444.0,4207916667.0,1.111111111,68821010797.0,72602858005.0,575.9166667,30161.08333,883000000000.0,1.976375546,-0.042855933,-0.123209015,0.19162068,0.20076326,0.15673009,-0.104574986,-0.19409782,0.04167688,0.37662756,0.2122229,-0.050562713,0.23909518,-0.13076146,-0.029731303,0.10400787,0.0,2.539291253871108,2.550884790839972,2.5275809089065406,2.5370429022702403,2.5393478078165037,2.5301278439397588,2.5410197856209824,2.544165122044614,-0.3284451206134718,2.514311966135674,2.5397938891424747,-0.3839513519065291,-0.3242618128249389,2.5829356066952998,-0.5106574243094953
1,50719250000.0,108000000000.0,14418416667.0,247000000000.0,4954416667.0,747250000.0,2238777778.0,271777777.8,500.6805556,4095509691.0,4707151019.0,10093.69444,31333.38889,56674361111.0,5.458768215,-0.042855933,-0.123209015,0.19162068,0.20076326,0.15673009,-0.104574986,-0.19409782,0.04167688,0.37662756,0.2122229,-0.050562713,0.23909518,-0.13076146,-0.029731303,0.10400787,0.0,-0.09468848145887357,-0.19778890793121554,-0.23090464529791865,-0.1855601704935362,-0.28114445326698073,-0.3087111718325056,-0.287913197484489,-0.26997407070137314,0.5799532973317039,-0.3212574311816395,-0.267504649764474,2.5488986129966684,0.5820537508745726,-0.2531820158202278,-0.4583517745578373
1,390000000000.0,1130000000000.0,168000000000.0,2480000000000.0,80271305556.0,11303916667.0,43921194444.0,4201250000.0,2186.597222,69191714604.0,72714736778.0,10097.54167,35295.375,860000000000.0,1.937363721,-0.042855933,-0.123209015,0.19162068,0.20076326,0.15673009,-0.104574986,-0.19409782,0.04167688,0.37662756,0.2122229,-0.050562713,0.23909518,-0.13076146,-0.029731303,0.10400787,0.0,2.523855400924055,2.52425035577436,2.5456596671285223,2.5370429022702403,2.544481315057968,2.528022910308831,2.550792594246199,2.5393987940725085,3.6455611911685457,2.530552186027935,2.544419765061881,2.550084115394311,3.6450859475778747,2.5039949297418893,-0.5112433831741541
1,166666.6667,222222.2222,27777.77778,555555.5556,0.0,0.0,0.0,0.0,2.680555556,3861.291667,984.6388889,533.0416667,30152.01389,0.0,271.8855422,-0.042855933,-0.123209015,0.19162068,0.20076326,0.15673009,-0.104574986,-0.19409782,0.04167688,0.37662756,0.2122229,-0.050562713,0.23909518,-0.13076146,-0.029731303,0.10400787,0.0,-0.4861346374302037,-0.4854402147634935,-0.4915712119766744,-0.4867162145667068,-0.4670168068359875,-0.5095084130209977,-0.4403811192878443,-0.46428136466473124,-0.32559130145655935,-0.5006780737230856,-0.46213220429605173,-0.39716304325300883,-0.3312734443538737,-0.44769994764650545,3.5433869290000564
1,972083333.3,1789750000.0,223166666.7,4204000000.0,58722222.22,8388888.889,17888888.89,2194444.444,1.0,70842519.5,64158708.14,533.0555556,30160.66667,535861111.1,45.133,-0.042855933,-0.123209015,0.19162068,0.20076326,0.15673009,-0.104574986,-0.19409782,0.04167688,0.37662756,0.2122229,-0.050562713,0.23909518,-0.13076146,-0.029731303,0.10400787,0.0,-0.4786334560587329,-0.48067390862396026,-0.48753713795392795,-0.48159113137788634,-0.4648137548150434,-0.5072541932210004,-0.43916282878164403,-0.46271244845267673,-0.32864716090749296,-0.49757469208941374,-0.45947946097192083,-0.397158763466188,-0.3245839348515318,-0.44586076334810365,0.13755646128973534
1,16184972222.0,42137805556.0,6332611111.0,95481444444.0,1551888889.0,287805555.6,868388888.9,84972222.22,4.111111111,4194503850.0,955663130.6,532.9166667,30161.20833,8372805556.0,3.471769231,-0.042855933,-0.123209015,0.19162068,0.20076326,0.15673009,-0.104574986,-0.19409782,0.04167688,0.37662756,0.2122229,-0.050562713,0.23909518,-0.13076146,-0.029731303,0.10400787,0.0,-0.36122149816581794,-0.3732091420509604,-0.37708596897479896,-0.3703003787055803,-0.40879537338301847,-0.4321707595406348,-0.3812410605876066,-0.40353054575939934,-0.3229900326694462,-0.31692058089887604,-0.4226182340446115,-0.39720156130358164,-0.3241651746707511,-0.4189627764034656,-0.48819656312496035
1,6450944444.0,24375888889.0,4112583333.0,52157861111.0,2346500000.0,425527777.8,570888888.9,104611111.1,4.222222222,1378701854.0,1919241666.0,547.2222222,30159.81944,15286694444.0,4.042002508,-0.042855933,-0.123209015,0.19162068,0.20076326,0.15673009,-0.104574986,-0.19409782,0.04167688,0.37662756,0.2122229,-0.050562713,0.23909518,-0.13076146,-0.029731303,0.10400787,0.0,-0.43634800884768654,-0.4205170036617632,-0.4172213144193442,-0.423123003472962,-0.3789843487355727,-0.39516274044647826,-0.4015017613959823,-0.3894897386499673,-0.32278799237542505,-0.4402784820711925,-0.38277694312016036,-0.39279338442181055,-0.32523893279851124,-0.3952329038295794,-0.4796316409870824
1,16310194444.0,38519722222.0,6327666667.0,87694111111.0,1539972222.0,812305555.6,275000000.0,45916666.67,4.180555556,2164421542.0,855344292.5,545.7777778,30161.875,5508472222.0,4.589952202,-0.042855967,-0.12320903,0.19162068,0.20076321,0.15673006,-0.104574986,-0.19409782,0.041676894,0.3766276,0.21222287,-0.050562713,0.23909518,-0.13076146,-0.029731303,0.10400787,0.0,-0.36025504226357036,-0.3828457026131001,-0.37717535838241706,-0.3797951470267006,-0.40924244497405793,-0.2912297719148548,-0.4216527403893457,-0.43145328239587544,-0.32286375748454654,-0.40585676784585484,-0.42676613882570535,-0.39323848188140126,-0.3236497686047333,-0.42879375085590815,-0.47140141898166954
1,12698444444.0,58417111111.0,10598888889.0,123000000000.0,5530472222.0,1161000000.0,1558083333.0,271833333.3,3.305555556,3427822140.0,4925206347.0,545.7777778,30160.38889,42989000000.0,1.747106414,-0.042855967,-0.12320903,0.19162068,0.20076321,0.15673006,-0.104574986,-0.19409782,0.041676894,0.3766276,0.21222287,-0.050562713,0.23909518,-0.13076146,-0.029731303,0.10400787,0.0,-0.3881302632043297,-0.32985013137916946,-0.2999569645185236,-0.33674816020366083,-0.25953286728400665,-0.1975303641486801,-0.3342706646847188,-0.26993435134331095,-0.324454824801554,-0.35050825742838815,-0.25848866877142684,-0.39323848188140126,-0.32479868802329426,-0.3001529580138895,-0.5141010540368409
1,11347666667.0,83199166667.0,16324833333.0,175000000000.0,5148638889.0,1587694444.0,1484166667.0,267916666.7,5.236111111,13518900870.0,3980255700.0,545.75,30160.38889,26563888889.0,1.793411746,-0.042855967,-0.12320903,0.19162068,0.20076321,0.15673006,-0.104574986,-0.19409782,0.041676894,0.3766276,0.21222287,-0.050562713,0.23909518,-0.13076146,-0.029731303,0.10400787,0.0,-0.39855546676928927,-0.2638445264293017,-0.19643899932294823,-0.27334674516393115,-0.2738579160326383,-0.08287119093267808,-0.3393046258765798,-0.2727345688392488,-0.3209443746904366,0.09157335714029644,-0.29755974834954024,-0.39324704145504286,-0.32479868802329426,-0.356527279324208,-0.5134055464627564
