ranks,PAPI_BR_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_TOT_INS,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,FP_ARITH:SCALAR_SINGLE,FP_ARITH:SCALAR_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,PAPI_MEM_WCY,rp_Quartz-Ruby,emb1_1,emb1_2,emb1_3,emb1_4,emb1_5,emb1_6,emb1_7,emb1_8,emb1_9,emb1_10,emb2_1,emb2_2,emb2_3,emb2_4,emb2_5,ranks,PAPI_BR_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_TOT_INS,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,FP_ARITH:SCALAR_SINGLE,FP_ARITH:SCALAR_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,PAPI_MEM_WCY,rp_Quartz-Ruby
1,435555555.6,1235527778.0,192194444.4,2783416667.0,42416666.67,6916666.667,11527777.78,2027777.778,2.958333333,138755578.6,38105685.5,550.1388889,30160.16667,250500000.0,0.600240096,0.35422027,0.09601951,-0.12152125,0.0018103761,0.05391281,-0.23327832,0.2506833,0.25223047,0.2447079,0.2240358,0.11432217,-0.10720153,0.46979797,-0.018521955,0.058537927,0.0,-0.5042246915869414,-0.5035557433345479,-0.509887737739163,-0.5048103163272113,-0.4856689006599454,-0.5305375573397194,-0.4582644389657061,-0.4829083473259453,-0.33781245041513164,-0.5170283234305437,-0.48050928065491405,-0.40831982841757625,-0.3381392541745648,-0.4659301978482311,-0.6457603617829849
1,568111111.1,1896916667.0,311472222.2,4213527778.0,82638888.89,16750000.0,17138888.89,4027777.778,3.972222222,236867340.9,67471186.18,548.4166667,30160.22222,451000000.0,0.666,0.35422027,0.09601951,-0.12152125,0.0018103761,0.05391281,-0.23327832,0.2506833,0.25223047,0.2447079,0.2240358,0.11432217,-0.10720153,0.46979797,-0.018521955,0.058537927,0.0,-0.503227878336733,-0.5018393968237364,-0.5077862481472245,-0.503111331321838,-0.48419958108610994,-0.5279607895750977,-0.4578926779727297,-0.48151617513586914,-0.33602456461185465,-0.5128381913886779,-0.47932721899697694,-0.40883543962694796,-0.33809760082530194,-0.4652605644609463,-0.08444834551095501
1,443194444.4,1263472222.0,202277777.8,2859166667.0,44000000.0,7027777.778,12194444.44,2027777.778,0.638888889,183353260.3,80617505.57,551.8333333,30161.30556,268861111.1,0.666,0.35422027,0.09601951,-0.12152125,0.0018103761,0.05391281,-0.23327832,0.2506833,0.25223047,0.2447079,0.2240358,0.11432217,-0.10720153,0.46979797,-0.018521955,0.058537927,0.0,-0.5041672474040553,-0.5034832257132911,-0.5097100850314837,-0.5047203246383368,-0.4856110614226961,-0.5305084413198082,-0.4582202693432112,-0.4829083473259453,-0.3419025453337252,-0.5151236570510662,-0.4787980347592126,-0.40781253352479346,-0.33728527428363364,-0.46586887509002556,-0.08444834551095501
1,492194444.4,1073388889.0,151277777.8,2471888889.0,45805555.56,6111111.111,12277777.78,2027777.778,2.472222222,85518248.64,90554484.71,551.8611111,30161.30556,360138888.9,1.0,0.35422027,0.09601951,-0.12152125,0.0018103761,0.05391281,-0.23327832,0.2506833,0.25223047,0.2447079,0.2240358,0.11432217,-0.10720153,0.46979797,-0.018521955,0.058537927,0.0,-0.5037987690775455,-0.5039765041320611,-0.5106086259933096,-0.5051804141605253,-0.48554510439746157,-0.5307486484844024,-0.45821474813990243,-0.4829083473259453,-0.3386696559369609,-0.5193019696974072,-0.47839803742338943,-0.40780421720820453,-0.33728527428363364,-0.46556402398014013,2.7665018845085068
1,46195611111.0,102000000000.0,13663111111.0,231000000000.0,4973333333.0,758944444.4,2230472222.0,272361111.1,2.902777778,3921400493.0,4651602624.0,575.9722222,30158.45833,56353027778.0,0.684210526,0.35422027,0.09601951,-0.12152125,0.0018103761,0.05391281,-0.23327832,0.2506833,0.25223047,0.2447079,0.2240358,0.11432217,-0.10720153,0.46979797,-0.018521955,0.058537927,0.0,-0.16011063664718972,-0.2420654867118693,-0.27255106287087183,-0.2336869399140491,-0.3055422946469179,-0.3334730553910928,-0.31124952983790893,-0.29473307297521223,-0.33791041675952627,-0.35548009223718363,-0.29480027812715676,-0.4005856601871848,-0.3394202277601337,-0.2785579997872842,0.07099268229885111
1,392000000000.0,1140000000000.0,167000000000.0,2480000000000.0,80134472222.0,11311750000.0,43777694444.0,4207916667.0,1.111111111,68821010797.0,72602858005.0,575.9166667,30161.08333,883000000000.0,0.608162146,0.35422027,0.09601951,-0.12152125,0.0018103761,0.05391281,-0.23327832,0.2506833,0.25223047,0.2447079,0.2240358,0.11432217,-0.10720153,0.46979797,-0.018521955,0.058537927,0.0,2.440326557588564,2.4516109687787546,2.429007282731246,2.4381455126097085,2.4400974653180056,2.4318282174474617,2.4414381795773767,2.444752425736557,-0.34106983139843544,2.4162358596981566,2.44046974058826,-0.400602292790424,-0.3374519101757398,2.482291935862163,-0.5781394927119499
1,50719250000.0,108000000000.0,14418416667.0,247000000000.0,4954416667.0,747250000.0,2238777778.0,271777777.8,500.6805556,4095509691.0,4707151019.0,10093.69444,31333.38889,56674361111.0,0.72689457,0.35422027,0.09601951,-0.12152125,0.0018103761,0.05391281,-0.23327832,0.2506833,0.25223047,0.2447079,0.2240358,0.11432217,-0.10720153,0.46979797,-0.018521955,0.058537927,0.0,-0.12609302669712383,-0.22649510257608535,-0.2592437495226236,-0.21467879440921134,-0.3062333213006289,-0.33653751647815394,-0.3106992499227103,-0.2951391231741149,0.5398680378722357,-0.34804428115581065,-0.29256426558288007,2.448898142299871,0.5415841462169229,-0.27748480513279894,0.4353342543346623
1,390000000000.0,1130000000000.0,168000000000.0,2480000000000.0,80271305556.0,11303916667.0,43921194444.0,4201250000.0,2186.597222,69191714604.0,72714736778.0,10097.54167,35295.375,860000000000.0,0.59875907,0.35422027,0.09601951,-0.12152125,0.0018103761,0.05391281,-0.23327832,0.2506833,0.25223047,0.2447079,0.2240358,0.11432217,-0.10720153,0.46979797,-0.018521955,0.058537927,0.0,2.425286625894288,2.425660328552448,2.4466257329631254,2.4381455126097085,2.445095993119371,2.4297755381290247,2.450945690914487,2.440111851537608,3.5128037373033707,2.4320677830408726,2.4449732431622997,2.450049953554558,3.512421071716889,2.405476135824509,-0.6584020726074304
1,972083333.3,1789750000.0,223166666.7,4204000000.0,58722222.22,8388888.889,17888888.89,2194444.444,1.0,70842519.5,64158708.14,533.0555556,30160.66667,535861111.1,0.833,0.35422027,0.09601951,-0.12152125,0.0018103761,0.05391281,-0.23327832,0.2506833,0.25223047,0.2447079,0.2240358,0.11432217,-0.10720153,0.46979797,-0.018521955,0.058537927,0.0,-0.5001900210225965,-0.5021175011856933,-0.5093420551819997,-0.5031226504087482,-0.485073257987573,-0.5301517700755698,-0.457842987146926,-0.48279233297723634,-0.3412657640889881,-0.519928736982651,-0.47946055754708417,-0.41343435901816455,-0.33776433653944216,-0.46497714384611016,1.3410267694987752
1,16184972222.0,42137805556.0,6332611111.0,95481444444.0,1551888889.0,287805555.6,868388888.9,84972222.22,4.111111111,4194503850.0,955663130.6,532.9166667,30161.20833,8372805556.0,0.5,0.35422027,0.09601951,-0.12152125,0.0018103761,0.05391281,-0.23327832,0.2506833,0.25223047,0.2447079,0.2240358,0.11432217,-0.10720153,0.46979797,-0.018521955,0.058537927,0.0,-0.38578961614326523,-0.39741171382921464,-0.40170311229566613,-0.39468421632741707,-0.4305278129721641,-0.4569322589192967,-0.40149359068485546,-0.4251718728892122,-0.33577964874822297,-0.3438164639414473,-0.4435744608939106,-0.41347594057117054,-0.3373581807669591,-0.43880318048151706,-1.5013876813888916
1,6450944444.0,24375888889.0,4112583333.0,52157861111.0,2346500000.0,425527777.8,570888888.9,104611111.1,4.222222222,1378701854.0,1919241666.0,547.2222222,30159.81944,15286694444.0,0.656725775,0.35422027,0.09601951,-0.12152125,0.0018103761,0.05391281,-0.23327832,0.2506833,0.25223047,0.2447079,0.2240358,0.11432217,-0.10720153,0.46979797,-0.018521955,0.058537927,0.0,-0.45898917258891914,-0.4435050247447102,-0.4408165612157497,-0.4461530273139563,-0.4015006336036673,-0.4208429522092234,-0.4212042849203274,-0.4115015154178467,-0.33558371605767023,-0.46407301514794275,-0.4047871351295909,-0.4091930409708235,-0.3383996194754516,-0.4157120541205099,-0.1636110817295253
1,16310194444.0,38519722222.0,6327666667.0,87694111111.0,1539972222.0,812305555.6,275000000.0,45916666.67,4.180555556,2164421542.0,855344292.5,545.7777778,30161.875,5508472222.0,0.694904912,0.35422027,0.09601951,-0.12152125,0.0018103761,0.05391281,-0.23327832,0.2506833,0.25223047,0.2447079,0.2240358,0.11432217,-0.10720153,0.46979797,-0.018521955,0.058537927,0.0,-0.3848479493105225,-0.4068008717201576,-0.4017902257362045,-0.4039356391454381,-0.43096312934981745,-0.31949008679151164,-0.4408082359011053,-0.4523579020415538,-0.33565719081552536,-0.43051669974361073,-0.4476126366219197,-0.40962548907418334,-0.33685828808734564,-0.44836953076959235,0.16227759914501
1,12698444444.0,58417111111.0,10598888889.0,123000000000.0,5530472222.0,1161000000.0,1558083333.0,271833333.3,3.305555556,3427822140.0,4925206347.0,545.7777778,30160.38889,42989000000.0,0.658073007,0.35422033,0.09601949,-0.12152127,0.0018103919,0.053912804,-0.23327832,0.25068325,0.25223047,0.24470788,0.22403577,0.1143222,-0.10720153,0.46979797,-0.018521948,0.058537934,0.0,-0.4120081859589237,-0.35516587367002267,-0.32653790958859874,-0.36199192207170394,-0.28518998615249513,-0.22811673722577822,-0.3557982753787751,-0.29510045176306204,-0.33720016075517073,-0.3765597102523284,-0.2837867941770122,-0.40962548907418334,-0.3379726257808111,-0.3231914122000017,-0.15211140693823838
1,11347666667.0,83199166667.0,16324833333.0,175000000000.0,5148638889.0,1587694444.0,1484166667.0,267916666.7,5.236111111,13518900870.0,3980255700.0,545.75,30160.38889,26563888889.0,0.569538266,0.35422033,0.09601949,-0.12152127,0.0018103919,0.053912804,-0.23327832,0.25068325,0.25223047,0.24470788,0.22403577,0.1143222,-0.10720153,0.46979797,-0.018521948,0.058537934,0.0,-0.4221659887090368,-0.2908548528898129,-0.2256556423714765,-0.30021544918098125,-0.2991383748579004,-0.11630394176683151,-0.36069558227770454,-0.29782678892222203,-0.33379583025439324,0.05440749828963952,-0.32182428383651224,-0.40963380539077227,-0.3379726257808111,-0.37804828396951584,-0.9078244016048957
